# Simulation 1 (Up to date)
# 1008 data points written for 6 variables.
# Simulation warnings:
#   Deploiement du systeme de recuperation à grande vitesse (41,6 m/s)
#
# Temps (s),Altitude (m),Accélération verticale (m/s²),Vitesse totale (m/s),Taux de roulis (°/s),Moment d'inertie longitudinale (kg·m²)
# Event LAUNCH occurred at t=0 seconds
# Event IGNITION occurred at t=0 seconds
6.1829,1257,-28.744,248.47,6.0632e-6,3.1971
6.2329,1268.8,-28.463,247.02,6.1433e-6,3.1971
6.2829,1280.6,-28.148,245.58,6.6489e-6,3.1971
6.3329,1292.3,-27.94,244.15,6.7339e-6,3.1971
6.3829,1304,-27.648,242.74,6.6783e-6,3.1971
6.4329,1315.5,-27.385,241.34,6.8049e-6,3.1971
6.4829,1327,-27.191,239.96,6.8601e-6,3.1971
6.5329,1338.5,-26.919,238.58,7.0152e-6,3.1971
6.5829,1349.8,-26.656,237.22,7.1826e-6,3.1971
6.6329,1361.1,-26.376,235.88,6.9904e-6,3.1971
6.6829,1372.4,-26.216,234.54,6.5941e-6,3.1971
6.7329,1383.5,-25.999,233.22,6.4705e-6,3.1971
6.7829,1394.6,-25.803,231.91,6.0664e-6,3.1971
6.8329,1405.7,-25.539,230.61,5.3563e-6,3.1971
6.8829,1416.6,-25.121,229.32,5.1248e-6,3.1971
6.9329,1427.5,-25.125,228.04,4.7393e-6,3.1971
6.9829,1438.4,-24.976,226.78,5.519e-6,3.1971
7.0329,1449.2,-24.689,225.52,5.7575e-6,3.1971
7.0829,1459.9,-24.427,224.27,5.7304e-6,3.1971
7.1329,1470.6,-24.262,223.04,5.6916e-6,3.1971
7.1829,1481.2,-24.147,221.82,5.4755e-6,3.1971
7.2329,1491.7,-23.838,220.6,5.7024e-6,3.1971
7.2829,1502.2,-23.678,219.4,6.1343e-6,3.1971
7.3329,1512.6,-23.637,218.2,5.5853e-6,3.1971
7.3829,1523,-23.366,217.02,5.1929e-6,3.1971
7.4329,1533.3,-23.001,215.84,4.5138e-6,3.1971
7.4829,1543.5,-23.042,214.68,4.7342e-6,3.1971
7.5329,1553.7,-22.954,213.52,5.5895e-6,3.1971
7.5829,1563.9,-22.545,212.37,5.7806e-6,3.1971
7.6329,1573.9,-22.358,211.23,6.5419e-6,3.1971
7.6829,1583.9,-22.423,210.1,6.7596e-6,3.1971
7.7329,1593.9,-22.237,208.98,7.2225e-6,3.1971
7.7829,1603.8,-21.94,207.86,7.6572e-6,3.1971
7.8329,1613.7,-21.837,206.76,7.5513e-6,3.1971
7.8829,1623.5,-21.75,205.66,7.6551e-6,3.1971
7.9329,1633.2,-21.581,204.57,7.3995e-6,3.1971
7.9829,1642.9,-21.371,203.48,7.6016e-6,3.1971
8.0329,1652.5,-21.208,202.41,7.6916e-6,3.1971
8.0829,1662.1,-21.137,201.34,7.9378e-6,3.1971
8.1329,1671.7,-21.031,200.28,7.6773e-6,3.1971
8.1829,1681.1,-20.829,199.23,8.101e-6,3.1971
8.2329,1690.6,-20.635,198.19,8.3302e-6,3.1971
8.2829,1699.9,-20.427,197.15,7.8227e-6,3.1971
8.3329,1709.3,-20.382,196.12,8.2826e-6,3.1971
8.3829,1718.5,-20.445,195.1,7.7174e-6,3.1971
8.4329,1727.8,-20.22,194.08,7.2093e-6,3.1971
8.4829,1736.9,-19.895,193.07,7.1244e-6,3.1971
8.5329,1746.1,-19.83,192.07,6.7903e-6,3.1971
8.5829,1755.1,-19.884,191.07,7.3583e-6,3.1971
8.6329,1764.2,-19.704,190.08,6.6661e-6,3.1971
8.6829,1773.1,-19.443,189.1,6.4823e-6,3.1971
8.7329,1782.1,-19.375,188.12,6.5627e-6,3.1971
8.7829,1790.9,-19.397,187.15,6.6759e-6,3.1971
8.8329,1799.8,-19.247,186.19,5.8599e-6,3.1971
8.8829,1808.5,-18.983,185.23,5.6758e-6,3.1971
8.9329,1817.3,-18.861,184.28,5.4724e-6,3.1971
8.9829,1826,-18.802,183.33,5.6163e-6,3.1971
9.0329,1834.6,-18.842,182.39,5.9617e-6,3.1971
9.0829,1843.2,-18.761,181.45,5.9533e-6,3.1971
9.1329,1851.7,-18.502,180.52,5.7755e-6,3.1971
9.1829,1860.2,-18.295,179.6,5.8868e-6,3.1971
9.2329,1868.7,-18.194,178.68,4.8394e-6,3.1971
9.2829,1877.1,-18.213,177.77,5.0335e-6,3.1971
9.3329,1885.5,-18.17,176.86,5.0754e-6,3.1971
9.3829,1893.8,-18.024,175.96,5.1007e-6,3.1971
9.4329,1902,-17.901,175.07,5.0495e-6,3.1971
9.4829,1910.3,-17.805,174.17,5.0878e-6,3.1971
9.5329,1918.4,-17.74,173.29,5.0642e-6,3.1971
9.5829,1926.6,-17.625,172.41,5.043e-6,3.1971
9.6329,1934.7,-17.555,171.53,5.0826e-6,3.1971
9.6829,1942.7,-17.473,170.66,4.9761e-6,3.1971
9.7329,1950.7,-17.283,169.79,5.1163e-6,3.1971
9.7829,1958.7,-17.199,168.93,4.9667e-6,3.1971
9.8329,1966.6,-17.198,168.07,4.9362e-6,3.1971
9.8829,1974.5,-17.148,167.22,4.7428e-6,3.1971
9.9329,1982.3,-17.077,166.37,5.0837e-6,3.1971
9.9829,1990.1,-16.902,165.53,5.4807e-6,3.1971
10.033,1997.9,-16.734,164.69,5.6371e-6,3.1971
10.083,2005.6,-16.742,163.86,5.7623e-6,3.1971
10.133,2013.2,-16.65,163.03,5.735e-6,3.1971
10.183,2020.9,-16.569,162.2,5.8517e-6,3.1971
10.233,2028.4,-16.534,161.38,5.8346e-6,3.1971
10.283,2036,-16.498,160.56,5.8458e-6,3.1971
10.333,2043.5,-16.32,159.75,5.9745e-6,3.1971
10.383,2050.9,-16.211,158.94,6.108e-6,3.1971
10.433,2058.4,-16.161,158.14,6.0862e-6,3.1971
10.483,2065.7,-16.159,157.34,6.0572e-6,3.1971
10.533,2073.1,-16.093,156.54,5.9214e-6,3.1971
10.583,2080.4,-16.028,155.75,6.1329e-6,3.1971
10.633,2087.6,-15.933,154.96,6.0315e-6,3.1971
10.683,2094.8,-15.774,154.18,5.9378e-6,3.1971
10.733,2102,-15.701,153.4,5.7483e-6,3.1971
10.783,2109.2,-15.626,152.62,5.8348e-6,3.1971
10.833,2116.3,-15.52,151.85,5.4623e-6,3.1971
10.883,2123.3,-15.544,151.08,5.6579e-6,3.1971
10.933,2130.3,-15.554,150.31,5.7497e-6,3.1971
10.983,2137.3,-15.573,149.55,5.9986e-6,3.1971
11.033,2144.3,-15.466,148.79,5.9398e-6,3.1971
11.083,2151.2,-15.255,148.04,6.0381e-6,3.1971
11.133,2158,-15.051,147.29,5.8324e-6,3.1971
11.183,2164.9,-14.981,146.54,5.577e-6,3.1971
11.233,2171.7,-15.011,145.8,5.8239e-6,3.1971
11.283,2178.4,-15.187,145.06,5.8503e-6,3.1971
11.333,2185.1,-15.284,144.32,5.9317e-6,3.1971
11.383,2191.8,-15.059,143.59,6.7655e-6,3.1971
11.433,2198.4,-14.79,142.86,6.9028e-6,3.1971
11.483,2205,-14.598,142.13,7.0519e-6,3.1971
11.533,2211.6,-14.489,141.41,5.9449e-6,3.1971
11.583,2218.1,-14.539,140.69,5.4759e-6,3.1971
11.633,2224.6,-14.711,139.97,5.4532e-6,3.1971
11.683,2231.1,-14.789,139.25,4.8814e-6,3.1971
11.733,2237.5,-14.656,138.54,4.339e-6,3.1971
11.783,2243.9,-14.451,137.84,4.4461e-6,3.1971
11.833,2250.2,-14.251,137.13,4.5695e-6,3.1971
11.883,2256.6,-14.182,136.43,4.8652e-6,3.1971
11.933,2262.8,-14.294,135.73,4.6668e-6,3.1971
11.983,2269.1,-14.365,135.03,4.794e-6,3.1971
12.033,2275.3,-14.321,134.34,4.4584e-6,3.1971
12.083,2281.5,-14.198,133.65,4.7422e-6,3.1971
12.133,2287.6,-13.995,132.96,4.8092e-6,3.1971
12.183,2293.7,-13.851,132.28,4.8575e-6,3.1971
12.233,2299.8,-13.896,131.6,4.7227e-6,3.1971
12.283,2305.8,-14.018,130.92,4.7853e-6,3.1971
12.333,2311.8,-14.073,130.25,4.8266e-6,3.1971
12.383,2317.7,-13.973,129.57,4.9185e-6,3.1971
12.433,2323.7,-13.773,128.9,4.916e-6,3.1971
12.483,2329.5,-13.572,128.24,4.623e-6,3.1971
12.533,2335.4,-13.518,127.57,4.4925e-6,3.1971
12.583,2341.2,-13.53,126.91,4.6173e-6,3.1971
12.633,2347,-13.593,126.25,4.5694e-6,3.1971
12.683,2352.8,-13.649,125.6,4.523e-6,3.1971
12.733,2358.5,-13.668,124.94,4.2624e-6,3.1971
12.783,2364.2,-13.575,124.29,4.1253e-6,3.1971
12.833,2369.8,-13.426,123.64,4.237e-6,3.1971
12.883,2375.4,-13.341,122.99,4.1767e-6,3.1971
12.933,2381,-13.263,122.35,4.0442e-6,3.1971
12.983,2386.6,-13.25,121.71,4.0788e-6,3.1971
13.033,2392.1,-13.217,121.07,4.0447e-6,3.1971
13.083,2397.6,-13.224,120.43,4.1209e-6,3.1971
13.133,2403,-13.268,119.8,3.9892e-6,3.1971
13.183,2408.5,-13.236,119.17,4.0615e-6,3.1971
